ID,Epic,Summary,Description,Acceptance Criteria,Story Points,Priority,Status,Depends On,Assignee,Sprint,Labels,Created Date,Due Date
INS-01,EPIC-INS,Create Inspection,"Start nieuwe inspectie voor lot/part","AC1: Inspectie kan gestart worden met part/lot, QCP en tekeningrevisie; AC2: Starttijd, operator en locatie gelogd",5,MVP,Backlog,AUTH-01,,Sprint 2,"inspection;mvp",2026-01-01,
INS-02,EPIC-INS,Measurement Entry UI,"Vaste meetpunten prefilled en handmatige invoer","AC1: Voor gekozen QCP verschijnen alle meetpunten met tolerantie en meetmethode; AC2: Meetwaarden handmatig of via import/Keyence",5,MVP,Backlog,INS-01;QCP-01;MEAS-01,,Sprint 2,"inspection;ui;mvp",2026-01-01,
AQL-01,EPIC-INS,AQL Evaluator,"Automatische AQL-berekening & beslislogica","AC1: AQL-berekening geeft sample size en accept/reject count; resultaat matcht referentietabel; AC2: Override alleen met autorisatie en gelogd",8,MVP,Backlog,INS-02,,Sprint 2,"aql;mvp",2026-01-01,
QCP-01,EPIC-QCP,QCP Baseline,"QCP CRUD, link naar drawing revision, revision metadata","AC1: QCP bevat metadata, meetpunten en link naar drawing revision; AC2: Revisies require approval before activate",8,MVP,Backlog,AUTH-01,,Sprint 1,"qcp;mvp",2026-01-01,
WF-01,EPIC-WF,Workflow Core,"Inkoop & Productie templates, status transitions, enforce approvals","AC1: Transities volgen template (inkoop/productie) en enforce approvals",8,MVP,Backlog,INS-01;AUTH-01,,Sprint 3,"workflow;mvp",2026-01-01,
AUD-01,EPIC-AUD,Audit Logging,"Immutable audit events for create/update/delete","AC1: Create/update/delete events bevatten user, timestamp, change reason en old+new waarden",5,MVP,Backlog,AUTH-01,,Sprint 2,"audit;mvp",2026-01-01,
AUTH-01,EPIC-ADMIN,RBAC & Auth Baseline,"Users, roles, site scoping","AC1: Rollen (Operator, Inspector, QA‑Engineer, QA‑Manager, SupplierUser, Admin) en site scoping werkzaam op UI/API",8,MVP,Backlog,, ,Sprint 1,"auth;admin;mvp",2026-01-01,
INT-CSV-01,EPIC-INT,CSV Fallback Import,"CSV import validation voor measurements","AC1: CSV import valideert headers en values; import foutmeldingen en failed lines gerapporteerd",3,MVP,Backlog,INS-02;MEAS-01,,Sprint 2,"import;csv;mvp",2026-01-01,
NOTIF-01,EPIC-INT,Reject Notification Path,"Alerts on reject (internal + simple email)","AC1: Reject event stuurt notificatie naar ingestelde ontvangers en wordt gelogd",3,MVP,Backlog,WF-01;AUD-01,,Sprint 3,"notifications;mvp",2026-01-01,
MEAS-01,EPIC-MEAS,Measurement Model,"MeasurementPoint entity, 1:1 mapping to drawing annotations","AC1: Elk meetpunt heeft unieke id en link naar drawing annotation/coordinate",5,P1,Backlog,QCP-01,,Sprint 1,"measurement;model",2026-01-01,
QCP-02,EPIC-QCP,Revision Workflow,"Revision approvals, readonly history, diff metadata","AC1: Revisies versiegebonden en require approval; oude revisies readonly en historisch traceerbaar",5,P1,Backlog,QCP-01;AUTH-01,,Sprint 1,"qcp;revisions",2026-01-01,
INT-KEYENCE-SPIKE,EPIC-MEAS,Keyence Integration Spike,"PoC: validate Keyence APIs/CSV/SDK and mapping","AC1: PoC valideert endpoints en mapping; produceert integratie-aanpak",3,P1,Backlog,MEAS-01,,Sprint 3,"keyence;spike",2026-01-01,
MEAS-02,EPIC-MEAS,Keyence Import,"Realtime mapping & store (after spike)","AC1: Inkomende meetdata wordt gematched en opgeslagen; mismatches flagged",8,P1,Backlog,INT-KEYENCE-SPIKE;INS-02,,Sprint 4,"keyence;import",2026-01-01,
SUP-01,EPIC-MEAS,Supplier Overrides,"Supplier-specific specs/overrides enforcement","AC1: Supplier override kan toegevoegd worden per part en is zichtbaar en afdwingbaar tijdens inspecties",5,P1,Backlog,QCP-01;AUTH-01,,Sprint 4,"supplier;overrides",2026-01-01,
DOC-01,EPIC-OPS,Work Instruction Linking,"Document storage/versioning + link per meetpunt","AC1: Meetpunt toont link(s) naar document versie; document opent en corresponderend revisienummer zichtbaar",5,P2,Backlog,MEAS-01;QCP-01,,,"docs;work-instructions",2026-01-01,
REP-01,EPIC-OPS,Reporting/KPIs,"Dashboards (reject rate, supplier trends), exports","AC1: Dashboard toont gefilterde aggregaties per site, periode en supplier; export mogelijk",8,P2,Backlog,AUD-01;INS-01,,,"reporting;kpi",2026-01-01,
MIG-01,EPIC-MIG,Data Migration Tools,"Bulk import QCPs/inspections/validation/reconciliation","AC1: Import valideert mapping, toont errors en produceert reconciliation report",8,P2,Backlog,QCP-01;AUTH-01,,,"migration;import",2026-01-01,
MS-01,EPIC-OPS,Multi-site & i18n,"Site scoping, Chinese site rules, language switch","AC1: Site-filter werkt; UI language switch werkend; data residency voor China gedocumenteerd",8,P2,Backlog,AUTH-01;AUD-01,,,"multi-site;i18n",2026-01-01,
SEC-01,EPIC-OPS,Security & Compliance,"Retention policies, TLS + SSO support","AC1: Retention policy configureerbaar; SSO integratie voorbereid",5,P2,Backlog,AUTH-01,,,"security;compliance",2026-01-01,
NOTIF-02,EPIC-INT,External Channels,"Webhooks/WeChat/SMS, retry & DLQ","AC1: Externe notificaties ondersteunen retry en DLQ; webhook responses gelogd",5,P2,Backlog,NOTIF-01,,,"notifications;external",2026-01-01,
SPIKE-AQL-DETAIL,EPIC-INS,AQL Variants Spike,"Validate AQL variants & corner cases, produce test dataset","AC1: Testdataset met AQL scenario's gecreëerd en gevalideerd",3,Spike,Backlog,,,,"spike;aql",2026-01-01,
SPIKE-OPS-WORKFLOW,EPIC-INS,Operator UI Spike,"Operator UI workshop + microflows for minimal clicks","AC1: UI microflow recommendations en wireframes",2,Spike,Backlog,,,,"spike;ui",2026-01-01,
SPIKE-CHINA-REG,EPIC-OPS,China Regulations Spike,"Research data residency & hosting constraints for China","AC1: Rapport met constraints en aanbevelingen",3,Spike,Backlog,,,,"spike;china",2026-01-01,
